doi,url,pmid,year,title,journal,quartile,corpus_id,first_author,is_guideline,impact_factor,num_citations,is_open_access,list:fields_of_study,list:publication_types,num_influential_citations,sjr,relevance_gpt,reliability_score,question
10.1002/ejhf.3383,https://www.semanticscholar.org/paper/99270c4a625198286ce75897779975b3b03fb8e0,39215677,2024,Beta-blocker use and outcomes in patients with heart failure and mildly reduced and preserved ejection fraction.,European journal of heart failure,Q1,272315932,S. Matsumoto,0,5.919,0,0,['Medicine'],['JournalArticle'],0,3.089,"Yes, the article is relevant to the question because it discusses the use of beta-blockers in patients with heart failure and preserved ejection fraction (HFpEF), which is the specific patient population mentioned in the question. The article provides information on the association between beta-blocker use and clinical outcomes in patients with HFpEF, which can help inform the decision on whether to use beta-blockers in a patient with HFpEF and grade 3 diastolic dysfunction.",0.2429,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1093/eurheartj/ehz748.0424,https://www.semanticscholar.org/paper/f104f678e8ea58f5e54019d1edd9e428a3cbb684,NA,2019,P1666Do beta-blockers increase the risk for hospitalizations in heart failure with preserved ejection fraction? A secondary analysis of beta-blocker use in the TOPCAT trial,European Heart Journal,Q1,208466531,D. Silverman,0,4.091,0,1,['Medicine'],[],0,3.089,"Yes. This article is relevant because it discusses the use of beta-blockers in patients with heart failure with preserved ejection fraction (HFpEF), which is the same condition as the patient in the clinical question. The article specifically looks at the association of beta-blocker use and hospitalizations in patients with HFpEF, which directly relates to the question of whether beta blockers should be used in a patient with HFpEF and grade 3 diastolic dysfunction.",0.2411,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1002/14651858.CD012721.pub3,https://www.semanticscholar.org/paper/c1c2db7065bdf16d5b26988e934e56a34645ec56,34022072,2021,Beta-blockers and inhibitors of the renin-angiotensin aldosterone system for chronic heart failure with preserved ejection fraction.,The Cochrane database of systematic reviews,Q1,235126334,Nicole Martin,0,NA,4,0,['Medicine'],"['JournalArticle', 'Review']",0,3.089,"Yes, this document is relevant. The article specifically discusses the effects of beta-blockers in people with heart failure with preserved ejection fraction (HFpEF), which is the condition mentioned in the clinical question. The article aims to assess the effects of beta-blockers in patients with HFpEF, which directly addresses the question of whether beta blockers should be used in a patient with HFpEF and grade 3 diastolic dysfunction.",0.2384,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1002/clc.23345,https://www.semanticscholar.org/paper/5bc29069e5a8b045cc6a1802a1abd991793b4c45,32073676,2020,"Beta‐blockers withdrawal in patients with heart failure with preserved ejection fraction and chronotropic incompetence: Effect on functional capacity rationale and study design of a prospective, randomized, controlled trial (The Preserve‐HR trial)",Clinical Cardiology,Q1,211193590,P. Palau,0,0.878,19,1,['Medicine'],['JournalArticle'],0,3.089,"Yes. The article discusses the use of beta-blockers in patients with heart failure with preserved ejection fraction (HFpEF), which is relevant to the question about using beta blockers in a patient with HFpEF and grade 3 diastolic dysfunction.",0.2379,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1155/2020/3059864,https://www.semanticscholar.org/paper/7e764a9de403f83c6930e7c9ad48e21cfa53e551,32454997,2020,Decreased Mortality with Beta-Blocker Therapy in HFpEF Patients Associated with Atrial Fibrillation,Cardiology Research and Practice,Q1,218851707,Yanhua Yang,0,0.521,5,0,['Medicine'],['JournalArticle'],1,3.089,"Yes, this document is relevant. The article discusses the use of beta-blocker therapy in patients with HFpEF and atrial fibrillation, which may provide insight into the use of beta blockers in patients with HFpEF and grade 3 diastolic dysfunction.",0.2375,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1101/2024.09.20.24314104,https://www.semanticscholar.org/paper/fc488de1ff56836b3400bbcff402604eb6fa6e6e,NA,2024,"Effect of Beta Blockers on Exercise Capacity, Diastolic Function, and Quality of Life in Patients with Heart Failure with Preserved Ejection Fraction: A Secondary Analysis of INDIE-HFpEF and RELAX",NA,Q1,272817310,DO FrankR.Weigel,0,NA,0,0,['Medicine'],['Review'],0,3.089,"Yes, this document is relevant. The article specifically addresses the use of beta blockers in patients with heart failure with preserved ejection fraction (HFpEF), which is the same patient population as the clinical question. The article discusses the effects of beta blockers on exercise capacity, diastolic function, and quality of life in HFpEF patients, which directly relates to the question of whether beta blockers should be used in a patient with HFpEF and grade 3 diastolic dysfunction.",0.237,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
NA,https://www.semanticscholar.org/paper/4ed22977865d0ff3fc2ad7f8eea79a2ddc21e283,NA,2017,Can the Use of ?-Adrenergic Blockers for Treatment of HFpEF Worsen Diastolic Dysfunction? - A Review Based on Concept of MyBP-C,International Journal of Sciences: Basic and Applied Research,Q1,80033988,M. Dookhun,0,NA,0,0,['Medicine'],['Review'],0,3.089,Yes. The article discusses the use of beta blockers in patients with HFpEF and the potential worsening of diastolic dysfunction. This directly relates to the clinical question about using beta blockers in a patient with HFpEF and grade 3 diastolic dysfunction.,0.237,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.3760/CMA.J.ISSN.2096-3076.2019.03.010,https://www.semanticscholar.org/paper/b37399cbf8998e1fcfeb15a804dfce7dee04c211,NA,2019,Recent progress of β-blockers in treatment of heart failure with preserved ejection fraction,NA,Q1,219844990,Jie Luo,0,NA,0,0,['Medicine'],[],0,3.089,"Yes. This document is relevant because it discusses the use of beta blockers in the treatment of heart failure, specifically focusing on heart failure with preserved ejection fraction (HFpEF). It addresses the uncertainty surrounding the efficacy of beta blockers in HFpEF patients, which directly relates to the clinical question about using beta blockers in a patient with HFpEF and grade 3 diastolic dysfunction.",0.237,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.4103/2211-4122.199064,https://www.semanticscholar.org/paper/451a0cdd127c8e742dae9384d36438314a861112,28465981,2017,Left Atrial Size and Heart Failure Hospitalization in Patients with Diastolic Dysfunction and Preserved Ejection Fraction,Journal of Cardiovascular Echography,Q1,9965205,O. Issa,0,NA,29,0,['Medicine'],"['Review', 'JournalArticle']",0,3.089,"Yes. This article is relevant because it discusses patients with HFpEF and diastolic dysfunction, which is the same population as the patient in the clinical question. Additionally, it mentions the use of beta blockers in these patients, which is directly related to the question.",0.237,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.18087/cardio.2020.6.n1062,https://www.semanticscholar.org/paper/71ae574a8776b6721063ddf7ecec7e78a86d02a8,32720613,2020,[Frequency of use and Indications for Beta-Blockers in Heart Failure with Preserved Ejection Fraction].,Kardiologiia,Q1,220840323,E. Kokhan,0,NA,1,0,['Medicine'],['JournalArticle'],0,3.089,"Yes. The article discusses the frequency of beta-blocker use in patients with chronic heart failure with preserved ejection fraction (CHF-PEF), which is relevant to the question of whether beta blockers should be used in a patient with HFpEF and grade 3 diastolic dysfunction.",0.237,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1001/jama.2014.15241,https://www.semanticscholar.org/paper/4881f97fee8d0946645fb5eda5bc38d14de1e546,25399276,2014,Association between use of β-blockers and outcomes in patients with heart failure and preserved ejection fraction.,JAMA,Q1,41824167,L. Lund,0,NA,140,1,['Medicine'],['JournalArticle'],5,3.089,"Yes, this document is relevant. The article specifically addresses the use of beta blockers in patients with heart failure and preserved ejection fraction (HFPEF), which aligns with the clinical question about using beta blockers in a patient with HFpEF and grade 3 diastolic dysfunction.",0.0059,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1001/jama.2014.15358,https://www.semanticscholar.org/paper/e566d059c4e222310589ecd0241975ea6bb37d82,25399271,2014,Searching for treatments of heart failure with preserved ejection fraction: matching the data to the question.,JAMA,Q1,30061940,Susan Cheng,0,NA,1,0,['Medicine'],"['LettersAndComments', 'Editorial']",0,3.089,"Yes, this document is relevant. The article discusses the potential use of beta blockers in patients with heart failure with preserved ejection fraction (HFpEF), which directly relates to the clinical question about using beta blockers in a patient with HFpEF and grade 3 diastolic dysfunction. The article explores the potential benefits of beta blocker therapy in HFpEF, making it relevant to the question at hand.",0.0059,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1093/OXFORDJOURNALS.EURHEARTJ.A014745,https://www.semanticscholar.org/paper/f9843a67e07e080d41e70279cc80135db1b37b9f,8922910,1996,Beta-blocking agents in heart failure. Should they be used and how?,European heart journal,Q1,23815656,J. Cleland,0,4.091,113,1,['Medicine'],"['Review', 'JournalArticle']",1,3.089,"Yes. The article discusses the use of beta blockers in the management of chronic heart failure, which is relevant to the question about using beta blockers in a patient with HFpEF and grade 3 diastolic dysfunction.",0.0041,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
